Year,Public administration,Units,Value
2018,Autonomous Community and local governments,Euro per capita,27.6
2017,Autonomous Community and local governments,Euro per capita,25.7
2015,Autonomous Community and local governments,Euro per capita,25.7
2019,Autonomous Community and local governments,Euro per capita,29.2
2020,Autonomous Community and local governments,Euro per capita,29.2
2021,Autonomous Community and local governments,Euro per capita,30.2
2016,Autonomous Community and local governments,Euro per capita,24.7
2020,Autonomous Community government,Euro per capita,9.6
2015,Autonomous Community government,Euro per capita,7.3
2017,Autonomous Community government,Euro per capita,7.9
2013,Autonomous Community government,Euro per capita,6.4
2012,Autonomous Community government,Euro per capita,8.2
2018,Autonomous Community government,Euro per capita,8.4
2011,Autonomous Community government,Euro per capita,10.6
2021,Autonomous Community government,Euro per capita,9.1
2010,Autonomous Community government,Euro per capita,14.1
2016,Autonomous Community government,Euro per capita,7.1
2019,Autonomous Community government,Euro per capita,8.6
2014,Autonomous Community government,Euro per capita,15.2
2015,Local government,Euro per capita,18.4
2016,Local government,Euro per capita,17.6
2017,Local government,Euro per capita,17.9
2018,Local government,Euro per capita,19.2
2019,Local government,Euro per capita,20.5
2020,Local government,Euro per capita,19.6
2021,Local government,Euro per capita,21.1
