Year,Series,Units,Value
2010,CO2 isurketak 1990. urtearekiko,Aurkibidea,27.8
2011,CO2 isurketak 1990. urtearekiko,Aurkibidea,14.36
2012,CO2 isurketak 1990. urtearekiko,Aurkibidea,20.94
2013,CO2 isurketak 1990. urtearekiko,Aurkibidea,10.21
2014,CO2 isurketak 1990. urtearekiko,Aurkibidea,9.1
2015,CO2 isurketak 1990. urtearekiko,Aurkibidea,11.36
2016,CO2 isurketak 1990. urtearekiko,Aurkibidea,11.09
2017,CO2 isurketak 1990. urtearekiko,Aurkibidea,16.19
2018,CO2 isurketak 1990. urtearekiko,Aurkibidea,12.84
2019,CO2 isurketak 1990. urtearekiko,Aurkibidea,18.75
2020,CO2 isurketak 1990. urtearekiko,Aurkibidea,4.52
2021,CO2 isurketak 1990. urtearekiko,Aurkibidea,13.46
2022,CO2 isurketak 1990. urtearekiko,Aurkibidea,22.47
